+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
| Position |           Name           |    Price     | 24h price change | 7d price change |    Market cap    |    Volume 24h   |    Circulating suply     |                              Logo                             |                              7d price graph                             |
+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
|    1     |         Bitcoin          |  $40,297.37  |      -5.43%      |      +0.49%     | $766,412,632,312 | $41,801,859,917 |      19,018,925 BTC      |   https://s2.coinmarketcap.com/static/img/coins/64x64/1.png   |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1.svg   |
|    2     |         Ethereum         |  $2,988.94   |      -5.17%      |      -0.72%     | $360,116,569,784 | $20,192,751,372 |     120,482,997 ETH      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1027.svg |
|    3     |          Tether          |    $1.00     |      +0.00%      |      +0.01%     | $83,088,492,256  | $75,097,857,195 |   83,069,200,512 USDT    |  https://s2.coinmarketcap.com/static/img/coins/64x64/825.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/825.svg  |
|    4     |           BNB            |   $410.52    |      -3.14%      |      -1.30%     | $67,027,746,888  |  $2,159,619,761 |     163,276,975 BNB      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1839.svg |
|    5     |         USD Coin         |   $0.9999    |      +0.00%      |      +0.02%     | $49,887,076,415  |  $4,465,177,668 |   49,892,351,394 USDC    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3408.svg |
|    6     |           XRP            |   $0.7229    |      -4.84%      |      -6.09%     | $34,774,500,958  |  $2,010,773,558 |    48,105,234,849 XRP    |   https://s2.coinmarketcap.com/static/img/coins/64x64/52.png  |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/52.svg  |
|    7     |          Solana          |   $101.14    |      -6.49%      |      +0.50%     | $33,723,104,556  |  $1,724,176,890 |     333,435,841 SOL      |  https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5426.svg |
|    8     |          Terra           |    $95.11    |      -2.99%      |     +18.44%     | $33,386,859,667  |  $2,878,024,316 |     351,035,023 LUNA     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4172.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4172.svg |
|    9     |         Cardano          |   $0.9103    |      -5.55%      |      -3.71%     | $30,726,252,436  |   $840,686,235  |    33,752,565,071 ADA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2010.svg |
|    10    |        Avalanche         |    $74.52    |      -5.99%      |      -1.22%     | $20,007,856,452  |   $614,093,865  |     268,495,519 AVAX     |  https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5805.svg |
|    11    |         Dogecoin         |   $0.1364    |      -3.64%      |      -6.36%     | $18,094,235,128  |   $650,590,266  |   132,670,764,300 DOGE   |   https://s2.coinmarketcap.com/static/img/coins/64x64/74.png  |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/74.svg  |
|    12    |         Polkadot         |    $18.28    |      -6.32%      |      +1.40%     | $18,051,504,788  |   $744,021,248  |     987,579,315 DOT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6636.svg |
|    13    |         TerraUSD         |    $1.00     |      -0.05%      |      +0.04%     | $17,996,593,235  |   $628,471,580  |    17,967,623,841 UST    |  https://s2.coinmarketcap.com/static/img/coins/64x64/7129.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7129.svg |
|    14    |       Binance USD        |    $1.00     |      -0.05%      |      +0.18%     | $17,369,278,624  |  $4,963,824,606 |   17,350,536,744 BUSD    |  https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4687.svg |
|    15    |        Shiba Inu         | $0.00002422  |      -3.89%      |      -5.65%     | $13,295,914,538  |   $502,149,935  | 549,063,278,876,302 SHIB |  https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5994.svg |
|    16    |     Wrapped Bitcoin      |  $40,328.19  |      -5.23%      |      +0.65%     | $11,296,151,148  |   $191,235,124  |       280,106 WBTC       |  https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3717.svg |
|    17    |         Polygon          |    $1.42     |      -2.94%      |      +2.90%     | $11,060,407,283  |  $1,250,287,248 |   7,814,866,567 MATIC    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3890.svg |
|    18    |      NEAR Protocol       |    $15.38    |      -7.11%      |      -2.75%     | $10,416,024,863  |  $1,215,888,492 |     677,431,683 NEAR     |  https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6535.svg |
|    19    |          Cronos          |   $0.4065    |      -4.09%      |      +0.24%     | $10,268,456,166  |   $47,775,736   |    25,263,013,692 CRO    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3635.svg |
|    20    |           Dai            |   $0.9991    |      -0.06%      |      -0.03%     |  $9,089,446,606  |   $345,651,739  |    9,097,276,311 DAI     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4943.svg |
|    21    |         Litecoin         |   $107.76    |      -5.50%      |      -2.22%     |  $7,556,335,424  |   $697,584,011  |      70,124,844 LTC      |   https://s2.coinmarketcap.com/static/img/coins/64x64/2.png   |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2.svg   |
|    22    |           TRON           |   $0.06764   |      -5.77%      |     +10.77%     |  $6,874,411,219  |  $3,120,065,362 |   101,635,117,810 TRX    |  https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1958.svg |
|    23    |          Cosmos          |    $23.44    |      -5.09%      |      -2.02%     |  $6,713,158,406  |   $437,588,506  |     286,370,297 ATOM     |  https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3794.svg |
|    24    |        Chainlink         |    $13.65    |      -4.19%      |      -1.13%     |  $6,373,701,697  |   $503,037,653  |     467,009,550 LINK     |  https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1975.svg |
|    25    |         Uniswap          |    $8.90     |      -7.14%      |      -7.12%     |  $6,142,220,350  |   $269,257,475  |     690,500,804 UNI      |  https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7083.svg |
|    26    |       Bitcoin Cash       |   $322.09    |      -6.06%      |      -4.12%     |  $6,133,741,419  |  $4,302,346,686 |      19,043,469 BCH      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1831.svg |
|    27    |        FTX Token         |    $42.05    |      -5.68%      |      -0.84%     |  $5,761,121,687  |   $135,964,057  |     136,992,148 FTT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/4195.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4195.svg |
